MECPS|unico|B4|
MEDDAL|unico|A5|
MEDDE|unico|B3|
MEDEDO|unico|B2|
MEDEEV|unico|B2|
MEPG|unico|A2|
MSSDA|1|B3|
MSSDA|2|B3|
MFNA|unico|A1|
MFVNA|unico|A4|
MFVO|unico|A2|
MDCES|unico|A4|
MVPSP|unico|A5|
MISSDL|unico|B1|
MISNAF|unico|A6|
MMDDE|unico|B3|
MMDIL|unico|B3|
MULNFDT|unico|B3|
MODAL|unico|A2|
MOPAM|unico|A3|
MUDRU|unico|A6|
MAET|unico|A3|
MAMRS|unico|B1|
NEUNV|1|A3|
NEUNV|2|A3|
NPXDIM|1|B4|
NPXDIM|2|B4|
NSB|unico|A1|
NSONLU|unico|A5|
NPA|unico|A1|
NPDUA|unico|A3|
NVDP|unico|A4|
NQMCSM|unico|A5|
NDD|unico|A1|
NIDENI|unico|A5|
NITDT|unico|B4|
NOINV|unico|B3|
NMDM|1|B2|
NMDM|2|B2|
NMUMA|1|B1|
NMUMA|2|B1|
NOPDLU|unico|A5|
NBTDOB|unico|B3|
NDODME|1|B1|
NDODME|2|B1|
NORAET|unico|A6|
NSSCT|unico|B4|
NOSSL|1|B1|
NOSSL|2|B1|
NOSSL|3|B1|
NOSSL|4|B1|
NOAU|unico|A4|
NOCA|unico|A1|
NMLS|unico|A2|
NVTEST|unico|B4|
NAVI|unico|A1|
NESAB|unico|A5|
NPNBL|unico|B4|
NOJOV|unico|A4|
OABLT|unico|A6|
OADVD|1|A6|
OADVD|2|A6|
OALDES|unico|A5|
ADP|unico|A1|
OAET|unico|A3|
OAPRSE|unico|A6|
OBIS|unico|A6|
BRDVE|unico|A6|
OCVNU|unico|A4|
OCLAL|unico|A4|
OCONS|unico|B1|
CRNLA|unico|A6|
OCEOI|1|B2|
OCEOI|2|B2|
CPE|unico|A1|
ODCAAA|unico|B4|
DICL|unico|A2|
OENDOI|unico|A5|
OESAPL|unico|B3|
OEEOPH|unico|B2|
OESPAC|unico|B3|
OEALDF|unico|B2|
OGDT|unico|A3|
OHCD|unico|A4|
OIGA|unico|A4|
JDR|unico|A1|
OLDE|1|B2|
OLDE|2|B2|
OLVDF|unico|B1|
OLDM|1|B2|
OLDM|2|B2|
OLDM|3|B2|
OLDM|4|B2|
OMPUA|unico|A6|
MAT|1|A1|
MAT|2|A1|
OMODIL|unico|A5|
OMDFDA|unico|B2|
OLV|unico|A1|
OPDS|unico|B2|
PDP|unico|A1|
OPSDI|1|A4|
OPSDI|2|A4|
OPDSDD|unico|B3|
QJPE|unico|A1|
OQEOES|unico|B2|
ORE|1|A2|
ORE|2|A2|
ORCDA|1|A4|
ORCDA|2|A4|
OSEGR|unico|A4|
OSNDT|unico|A4|
OSXADM|unico|B4|
OSONB|unico|A6|
OTSDSO|unico|A6|
OVAPO|unico|A4|
VOGA|unico|A1|
OVMA|unico|A3|
OULJ|unico|A5|
OBPTS|1|B2|
OBPTS|2|B2|
OBDVE|unico|B1|
OBSEN|unico|A4|
OFERA|unico|B3|
OET|unico|A1|
ORSDES|unico|B4|
OSCRTD|unico|B4|
OSFDT|unico|A5|
OSLE|unico|A1|
OSMEN|unico|B1|
OSMVF|unico|A3|
OMV|1|A2|
OMV|2|A2|
OTASE|unico|A2|
OVAT|unico|A2|
PVDVE|1|B1|
PVDVE|2|B1|
PADEN|unico|A4|
PVAGDM|unico|B4|
PAEES|1|B1|
PAEES|2|B1|
POPR|unico|A3|
PZERE|unico|B1|
PPODCO|1|A6|
PPODCO|2|A6|
PPODCO|3|A6|
PEA|unico|A1|
POCDF|unico|B3|
PETE|unico|A1|
PLES|unico|A1|
PEM|1|B4|
PEM|2|B4|
PEM|3|B4|
PEM|4|B4|
PAMAID|unico|A6|
PQCOM|unico|A6|
PQEA|unico|A1|
PQCIDA|unico|B4|
PRDRE|unico|A5|
PROFC|unico|B3|
PRCDSO|unico|B3|
PAER|unico|A2|
QAIA|1|A2|
QAIA|2|A2|
QUCH|unico|A5|
QROAM|unico|A3|
QPVT|unico|A5|
QTMDOB|unico|B4|
RCDMCO|unico|B3|
RECCX|unico|A4|
REDVI|unico|A2|
REDÇ|unico|A5|
RFVM|unico|A4|
RNDES|unico|A4|
RENUN|unico|B2|
REPER|unico|A3|
REVP|unico|A1|
REDAT|unico|B2|
RPACO|unico|B3|
RESVI|unico|A5|
RTTDVI|unico|B4|
ROTVFA|unico|A5|
SEABPV|1|A5|
SEABPV|2|A5|
SRBNT|unico|B3|
SEDOME|unico|B2|
SEGDAL|unico|A5|
SMA|unico|A1|
SEMDVI|1|A5|
SEMDVI|2|A5|
SEMDVI|3|A5|
SMDL|unico|B2|
SPHUC|unico|A6|
SPETE|unico|A4|
SENDES|unico|A6|
SENPPE|unico|A5|
SENZ|unico|A4|
SERDD|unico|B4|
SXEDE|unico|B2|
SINDV|unico|A3|
SNVED|unico|B2|
SFDIM|unico|B4|
SINAM|unico|A3|
SLV|unico|A1|
SBCDT|unico|A6|
SOMM|1|A2|
SOMM|2|A2|
SBCB|unico|A6|
SNDLI|unico|A6|
SUBL|unico|A5|
SUEX|1|A2|
SUEX|2|A2|
SPRG|1|A2|
SPRG|2|A2|
SOAMCG|1|A5|
SOAMCG|2|A5|
SAL|unico|A1|
TCM|unico|A1|
TER|unico|A1|
TBPRDE|1|B3|
TBPRDE|2|B3|
TBPRDE|3|B3|
TRJUA|unico|A5|
TRDDT|unico|A5|
TRLI|1|A2|
TRLI|2|A2|
TTSPR|1|A6|
TTSPR|2|A6|
TVAPE|unico|A5|
UAMVE|1|A5|
UAMVE|2|A5|
UANVI|unico|A2|
UFVCE|1|B3|
